	file_path	file	sentence_id	text	tokenized_text	proper_nouns	length	batch	translation
0	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p1.s1	21.	21 .	{}	1	1	21.
1	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p1.s2	Návrh termínu 2. schůze Poslanecké sněmovny	Návrh termínu 2 . schůze Poslanecké sněmovny	{}	6	1	Draft date of the 2nd meeting of the Chamber of Deputies
2	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p2.s1	Vážené paní poslankyně a páni poslanci, připravovat schůze Sněmovny a navrhovat předsedovi Poslanecké sněmovny jejich termín přísluší organizačnímu výboru.	Vážené paní poslankyně a páni poslanci , připravovat schůze Sněmovny a navrhovat předsedovi Poslanecké sněmovny jejich termín přísluší organizačnímu výboru .	{}	19	1	The honourable Members, prepare the House meetings and propose to the President of the Chamber of Deputies their term is due to the Organising Committee.
3	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p2.s2	Protože tento výbor bude ustaven až na 2. schůzi Poslanecké sněmovny, navrhuji přijmout k tomuto bodu usnesení, jehož návrh máte před sebou a byl vám rozdán.	Protože tento výbor bude ustaven až na 2 . schůzi Poslanecké sněmovny , navrhuji přijmout k tomuto bodu usnesení , jehož návrh máte před sebou a byl vám rozdán .	{}	26	1	Since this committee will be set up at the second meeting of the Chamber of Deputies, I propose that you adopt a resolution on this point, which you have before you and has been handed over to you.
4	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p3.s1	Chtěl bych upozornit, že pracovní návrh 2. schůze byl počátkem týdne předán na jednotlivé kluby.	Chtěl bych upozornit , že pracovní návrh 2 . schůze byl počátkem týdne předán na jednotlivé kluby .	{}	15	1	I would like to point out that the working proposal for the 2nd meeting was handed over to individual clubs at the beginning of the week.
5	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p3.s2	Ještě než otevřu rozpravu, tak vás prosím, abyste si návrh vzali k ruce, a navrhuji následující změny.	Ještě než otevřu rozpravu , tak vás prosím , aby byste si návrh vzali k ruce , a navrhuji následující změny .	{}	17	1	Before I open the debate, I ask you to take the proposal to hand, and I propose the following changes.
6	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p4.s1	První změnou by bylo na základě porady předsedů klubů, že schůze by byla zahájena ne v 9 hodin, ale v 10 hodin, tak abychom dali prostor jednotlivým poslaneckým klubům se ještě operativně sejít.	První změnou by bylo na základě porady předsedů klubů , že schůze by byla zahájena ne v 9 hodin , ale v 10 hodin , tak aby bychom dali prostor jednotlivým poslaneckým klubům se ještě operativně sejít .	{}	33	1	The first amendment would be on the basis of a meeting of club presidents that the meeting would start not at 9 o'clock, but at 10 o'clock, so that we allow the various members to meet operationally.
7	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p4.s2	Takže první změna je zahájení schůze 4. prosince v 10 hodin.	Takže první změna je zahájení schůze 4 . prosince v 10 hodin .	{}	11	1	So the first change is the opening of the meeting on December 4th at 10 o'clock.
8	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p5.s1	Ještě po poradě s předsedou volební komise navrhuji dva nové body, které bychom zařadili na začátek tohoto programu.	Ještě po poradě s předsedou volební komise navrhuji dva nové body , které bychom zařadili na začátek tohoto programu .	{}	18	1	After consulting the President of the Election Commission, I propose two new points that we would put at the beginning of this programme.
9	/home/tajak/Parlamint-translation/Source-data/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.conllu	ParlaMint-CZ_2013-11-27-ps2013-001-02-016-021.u1.p5.s2	To znamená, prvním bodem by byla volba místopředsedy Poslanecké sněmovny a druhým bodem by byl bod změny v orgánech Poslanecké sněmovny.	To znamená , prvním bodem by byla volba místopředsedy Poslanecké sněmovny a druhým bodem by byl bod změny v orgánech Poslanecké sněmovny .	{}	21	1	That is, the first point would be the choice of Vice-President of the Chamber of Deputies, and the second point would be the point of change in the institutions of the Chamber of Deputies.
